1-0	  1   1 
2-0	  1   1 
3-0	  1   1 
4-1	2   2
5-2	2 11  1
6-3	  11  1
7-3	  11  1
8-1	2   2   

9-4	2 1   1 
10-5	  1   2 
11-0	  1   1 
12-5	  1   2 
13-4	2 1   1 
14-5	  1   2 
15-0	  1   1 
16-5	  1   2 

17-6	21  11 
18-7	1   2 2 
19-8	11  11  
20-7	1   2 2 
21-6	21  11 
22-7	1   2 2 
23-9	11  112  
24-7	1   2 2 

25-10	2 11  1
26-11	  11 21
27-3	  11  1
28-12	2   111(3)
29-10	2 11  1 
30-11	  11 21
31-3	  11  1 
32-12	2   111(3)

33-13	  1 1 1 
34-14	1111  2 
35-15	  2 1111
36-16	    2 2 
37-13	  1 1 1 
38-14	1111  2 
39-17	1  2  
40-18	2   2 2 
41-13	  1 1 1 
42-14	1111  2 
43-15	  2 1111
44-16	    2 2 
45-13	  1 1 1 
46-14	1111  2 
47-19	1  2  1   
48-18	2   2 2 

49-20	2 112 11
50-20	2 112 11
51-20	2 112 11
52-21	111(3)111(3)
53-20	2 112 11
54-20	2 112 11
55-20	2 112 11
56-21	111(3)111(3)

57-22	1 2 1 11
58-23	2 2  111
59-24	  1    2
60-21	111(3)111(3)
61-22	 2 1 11
62-23	2 2  111
63-24	  1    2
64-21	111(3)111(3)

65-25	11221122
66-26	111(332/8)2 2 
67-25	11221122
68-26	111(332/8)2 2 
69-25	
70-26
71-25
72-27
